fips,state,population,pop_change_2018,unemployment_rate,median_hh_income,pct_below_povert,feb_temp_avg,aug_temp_avg,prc_bachelors,physicians_per_pop,per_dem_2016,per_gop_2016
46117,SD,3022,28,2.6,69991,11,-14.8,20.7,31.3,240.4,0.209955328653,0.732610082961
46119,SD,1392,-17,2.6,59457,10.3,-15.9,20,25.5,240.4,0.159117305459,0.788617886179
46121,SD,10283,38,6.2,31876,53,-11.2,21,15.8,240.4,0.708235294118,0.229176470588
46123,SD,5478,28,2.6,45710,28.9,-11.1,21.4,21.5,240.4,0.17566539924,0.786692015209
46125,SD,8424,110,2.7,62792,11,-12,21,23.2,240.4,0.23156626506,0.707710843373
46127,SD,15619,372,3.2,80698,6.2,-11.1,21.1,30.4,240.4,0.282077264091,0.669791006966
46129,SD,5587,26,4.9,48394,19.1,-17.3,19.3,23.2,240.4,0.184497375858,0.765442067017
46135,SD,22869,170,2.6,56535,12,-11.1,21.3,28.2,240.4,0.34328202995,0.587978369384
46137,SD,2742,-12,5.1,32341,42.8,-15.8,20.2,16.3,240.4,0.45953002611,0.480417754569
47001,TN,76482,295,3.8,50672,21.9,7.5,24.3,23.5,253.1,0.303132254483,0.645998048649
47003,TN,49038,900,3.7,49860,22.8,9.2,25.3,16.3,253.1,0.221176470588,0.748692810458
47005,TN,16184,225,4.9,38940,30,7.9,25.7,12.6,253.1,0.233154065169,0.745808288516
47007,TN,14755,25,5.8,40195,35,7.9,24.1,12.9,253.1,0.192688172043,0.778709677419
47009,TN,131349,1449,3.2,57939,13.5,8.2,24.5,24,253.1,0.23308067658,0.721036085556
47011,TN,106727,1410,3.6,50427,20.9,9.2,25.9,21.9,253.1,0.184152948531,0.775187539071
47013,TN,39583,-43,4.8,39443,27.8,6.7,23,11.9,253.1,0.17978246961,0.788547664747
47015,TN,14462,294,3.2,51859,22,8.5,24.7,13.8,253.1,0.212492923193,0.755991696547
47017,TN,28020,187,4.9,42025,27.5,7.9,25.5,17.2,253.1,0.224813703668,0.748185425336
47019,TN,56351,-125,4.1,39202,29.4,6.5,21.7,16.8,253.1,0.164483399228,0.8048873434
47021,TN,40439,154,2.7,63241,13.4,8.7,25.8,19.6,253.1,0.245023067686,0.713834291854
47023,TN,17276,141,3.8,47508,22,8.5,25.9,16.4,253.1,0.185979381443,0.789072164948
47025,TN,31756,121,4.2,37987,35.2,6.4,22.9,15.2,253.1,0.17102559312499999,0.802260414721
47027,TN,7717,26,5,34238,30.7,8.1,24.6,14.6,253.1,0.242206235012,0.733127783487
47029,TN,35774,293,4.7,36192,35.7,8.6,24.2,10.8,253.1,0.163528245788,0.808638916419
47031,TN,55700,759,3.4,49494,25.1,8.6,24.4,19.6,253.1,0.238301080674,0.724252324705
47033,TN,14328,-137,3.9,44431,25.4,8.1,25.9,13,253.1,0.241737838841,0.738395841069
47035,TN,59673,668,4.4,46527,24.4,7.1,22.7,18.3,253.1,0.19780971937,0.776104646741
47037,TN,692587,3581,2.6,60799,25.4,8.8,26,40.3,253.1,0.603060938509,0.34266995398
47039,TN,11706,-19,4.8,42905,24.3,8.8,25.9,12.8,253.1,0.195324448329,0.782171728206
47041,TN,20138,292,4.4,47420,24.4,8.6,25,15.7,253.1,0.225648414986,0.74409221902
47043,TN,53446,661,3,56166,20.2,8.3,25.2,15.4,253.1,0.253397067512,0.709651431334
47045,TN,37320,-83,4.6,44302,26,7.2,25.8,16.9,253.1,0.211813393529,0.76561324304
47047,TN,40507,442,3.7,59529,20.9,9,26.4,21.7,253.1,0.303791567388,0.675748471978
47049,TN,18217,97,4.2,36687,30,7.3,23.4,13.6,253.1,0.150458213651,0.825058131583
47051,TN,41890,306,3.4,50201,21.4,8.8,24.8,20.7,253.1,0.267188168429,0.704394059769
47053,TN,49045,-73,4.5,42720,22.8,7.8,25.5,17.8,253.1,0.269708478752,0.707195647711
47055,TN,29503,118,3.7,48024,22.7,9.1,24.9,15.1,253.1,0.26214028777,0.71618705036
47057,TN,23145,21,4,41829,25.2,7.4,24.1,10.6,253.1,0.144520976832,0.828804007514
